delta_P (pa),r (m),mu (Pa.s),L (m)
4498.812785948426,0.003528136962921693,0.009656145800486956,8.14729447216561
4166.1439862301095,0.0008114850358017397,0.009922988323379286,6.010586667513706
1370.5438027511987,0.008365651924498068,0.0035750069126324535,5.66994997050302
1854.6615180697595,0.0038253556990725853,0.0026849683490594795,9.482352175509265
7195.773410775943,0.00345704272333588,0.007483084604007568,5.8062481785968965
7220.034915183542,0.001732086686772602,0.004131009446543322,3.7662562828796466
7942.621041983781,0.003367691494087378,0.007815051822873323,2.1726906080666026
7460.618111438851,0.006943240981743287,0.005741849713332088,0.15036053023606216
9075.139055817242,0.0035594045994709832,0.009183947329579,4.7290366498035725
6802.8309141048285,0.008429273943372086,0.0017688657007593007,0.6229760822496727
