delta_P (pa),r (m),mu (Pa.s),L (m)
6215.335401576523,0.006866198259517079,0.009172750000223759,4.186096316459947
7301.27858944329,0.006062405640399625,0.0032622304069313403,5.425118392726128
1525.5625427122643,0.007766158308312732,0.007026108328255842,3.9126873759691367
9472.263761607706,0.005910516704575909,0.008987628640746339,1.9506654550587532
7541.234262303328,0.006458385546895023,0.0014971883912419113,4.678877136743593
9998.193417087174,0.007269694197336679,0.0012407151294246653,7.394085823341889
745.5396682917718,0.006815576567518977,0.0029740911499720798,0.8590860427134185
3825.6267069726905,0.001734799673251015,0.004074853064317074,0.3885623117919137
1551.1385274443826,0.008656652069561534,0.006027218371347986,8.289033529704337
6194.423433297207,0.009757127136755693,0.0053271210732940884,0.37082414838544986
6467.026523447074,0.008881522233359867,0.005308851231329331,6.530031022760337
2887.9277298193406,0.004296939044060722,0.006064515355889609,5.791634794915194
1928.6759514241664,0.00596459646376783,0.006772534151615335,6.067939817189943
4050.9141859055626,0.0015260018517428598,0.006676485402631459,3.2751697478005957
4474.418137126028,0.008918705301063284,0.0035572391894762617,7.33214298149127
7862.384088185036,0.005577574432305277,0.002446815140446112,9.034420023414361
2599.492103459862,0.0025769633142599976,0.006491669508288283,7.761887906089212
1869.5928158765,0.0001055687348915825,0.0013760453296540896,6.933609631487884
5035.271184573875,0.0009141519454681801,0.003083749047830416,7.916395871281241
8864.676855231986,0.008045599927402294,0.0031051307062916825,0.5083185749663851
4534.7617338708615,0.009832876933075631,0.0017254321916292644,5.070275556143562
3485.8911805401317,0.0010446301116045977,0.003387950346403175,7.494205059850923
3447.8165358255233,0.005156889455619605,0.006090875331053908,1.3110993047227169
8338.68674866452,0.009512192480598326,0.004470343867824468,3.500332710871805
6663.640578401416,0.005586284370010923,0.002692304940137301,3.725143565286582
4630.267169146006,0.006847522519207146,0.00577368084304729,3.053776101909014
5086.092146036578,0.005805022441760511,0.0021744348378025117,9.981604270197158
357.0615937335971,0.009013784190029739,0.00880731449011557,2.798166893656502
5334.803899008725,0.0066962675430524915,0.008978303492347472,5.764531838026864
4256.111040961401,0.00884612212362273,0.00145539251744662,2.8860504775449205
6320.51080302013,0.0004348509915889483,0.007253075203844335,0.8828673413761109
3802.9729538902984,0.000834510970495799,0.009055407326528896,6.196503112500763
4918.518631999339,0.006701803663116866,0.007918172040695889,1.1706119522599128
4197.414804659765,0.008521075102973886,0.007073258141471955,3.9025453023721295
7993.500946241112,0.000923628003471366,0.005104549117014713,3.3434185093751276
4255.227945279627,0.003960976018125964,0.0033516566353709166,9.323188204012782
9444.265968413585,0.005864662086462067,0.006870226352232895,1.1288946686917765
162.22852962507878,0.005405688179625829,0.005491606195119874,7.814006010665301
5658.408274618598,0.007510247534781437,0.005825196555168998,1.3296546882035238
4173.300697828912,0.002678575963358095,0.002003234178474987,1.7884645050737344
9487.45297002779,0.0019893999139167055,0.0012314871630212708,1.422940163695491
9623.219441886931,0.00982179466252504,0.0023411770556921348,0.26531696826214124
7552.291499694511,0.005797515508066926,0.008273576846886102,4.454082337634941
1725.9000235798599,0.0049033102740265394,0.005350506502297672,3.3266172686556175
6164.273000404074,0.0047809291810426,0.003841091251147909,7.600174764075922
4260.63305470298,0.0010680671895967363,0.006553744039087513,2.1365464003137298
8596.309697258372,0.00781922595067126,0.007265599226890305,9.192613252644048
3813.99373009591,0.0016412297056196392,0.001375143204082688,4.110634291748506
9731.168424158164,0.00939418504846887,0.001448379486162925,1.2553973999588695
523.1172170623144,0.004784237120408621,0.008556647368753579,0.5853086287718733
618.2146765010338,0.009899928684063633,0.0065616920878790305,7.989260054368953
7855.730637338188,0.003975347782657729,0.002469378473933356,9.753430833044975
4212.329262122043,0.003829211765542977,0.002899888218247491,3.940383375070945
2608.9003226135083,0.0018296462089053393,0.0037065613442082055,0.8764744449339774
1431.3577156538026,0.003521768606277753,0.0019078567426747458,4.221529071841444
975.8703334131142,0.009450326747871227,0.005834488932560379,1.3949779117378327
8363.532316365276,0.005265276805389699,0.0031301836709554582,2.474469531555441
8848.69470309116,0.00876215607785784,0.008359147161705027,4.392301223635727
9219.911739501094,0.008958811165270522,0.005041923404894892,3.4490334852857703
7485.236312116971,0.00180160695229968,0.005459394647556439,3.3695639727102216
9388.275185021877,0.0002723837979286323,0.004785391525570235,2.9584778649768264
5209.547865431709,0.0022929019246613943,0.008712671136193933,6.64672015666712
4138.239172442113,0.006502146786654768,0.0038433824620165875,7.8922804733879195
2870.190272235559,0.005945035763408548,0.0027337018777586217,6.617637624450851
5091.453783919202,0.004401801405154746,0.0032541046663700796,8.112775765475511
7593.692695943548,0.00889731378663926,0.0050336312747006,2.5945524858928435
3417.2843135902262,0.0005019372142027401,0.006028020545236607,6.431949282046872
5970.418575269316,0.00925814307489516,0.0013706225825449278,6.604751666001876
5936.651763490611,0.00704017127485317,0.006230503386599845,9.575363966537923
5267.295553358875,0.00893218413485842,0.006782112118556799,1.4005768234792193
5339.8770669495425,0.002088476850885263,0.0033237521973627044,0.8107672078624529
5820.561075748918,0.006990182279109314,0.004510730057968911,7.865400463528394
4421.616509151847,0.004295311738147516,0.006414477192718974,1.6149544349477523
2443.569095983197,0.002711227038374895,0.0044041441083222214,5.498394295862734
944.0654920411604,0.008938818329069027,0.0076584398304799664,5.283874454307368
9658.228252284602,0.005383801617526989,0.008374405523780326,7.867088038356156
5451.363107240231,0.009540237488065878,0.007061208021608924,3.9335775364332117
4985.774420065052,0.008695183179598722,0.0015759543279526265,6.995230591618148
6229.748759100603,0.00914575287213031,0.003970069634100325,9.858945346216656
7702.699527036568,0.0005955244454997806,0.003930656837461842,3.819434973338864
7077.967204092142,0.0036885898803874816,0.003158247732108555,2.4156917714700636
6558.545400886599,0.0033480727936514225,0.003301771781497645,3.0476501760351877
7333.602256488346,0.002654414695624099,0.007432644269528082,5.353868180118281
2116.748778047081,0.006174433670575498,0.006207957044142737,5.655402326226703
9999.381436247024,0.003942369689873612,0.0033101604764102987,9.543869322710878
840.7509186947981,0.001946500997822225,0.00569626159114013,6.661553193682471
8945.014840305217,0.0075558084147875,0.007793476182105532,1.2440803177904007
1657.5956148077803,0.005316873701208481,0.0049103041059978085,5.324884493719818
3310.087442604911,0.0004945561946301597,0.008178233320716531,5.3120886657926585
4430.733595248216,0.002878320584052467,0.006675095364791303,6.221787322533319
9233.828803390586,0.009843143785333318,0.0056432464757645235,9.704417202424626
7532.152311325052,0.008810664817452518,0.009645800992300804,9.066495109438641
5175.86493829328,0.00889030089530611,0.0017792050494608554,1.353680143213171
8092.433007626391,0.0064094724854802144,0.007617958414930298,8.708523562612603
1426.2192759120035,0.006951161022098488,0.0011434358178941599,3.318003949686042
6776.061091345493,0.005502129848027065,0.0031220395680437024,1.8774502292364768
9709.558731793699,0.008279151085593952,0.001992068514533458,6.7762695630154965
249.9884844660138,0.001758889661457488,0.009767974423310507,7.764618061809154
3959.6526115371353,0.0007954732631022429,0.009253277035685323,0.6467016792693293
7757.678398303907,0.006725259014585791,0.009966046013713394,3.168202523468648
6316.3472805481115,0.009469259412129394,0.006113641812999972,8.222931987922939
6365.452888183321,0.000779432532424655,0.0051031150124493125,7.506446250150658
1412.9819332027055,0.005516287215276066,0.0063665231822403814,9.515971980503648
9409.906097171612,0.004573482392928169,0.007736718352920492,3.7416494923441834
5696.176860317867,0.00475049903324078,0.009060901052441103,3.7657077588855934
5206.857456732785,0.007174373687574068,0.009466773367680835,0.6896890622431262
6989.035151324287,0.009482153424410986,0.0020978008204199,9.652304702383308
3802.094231553899,0.0028911321469037225,0.00612299171474139,5.899240628811365
9817.812002574952,0.006358675675883611,0.006930460756973147,1.0339286462021047
2453.036116911595,0.00942881557729911,0.0013113301495137526,3.5023487900400014
7980.699219815096,0.0020891232800864887,0.007764096468791366,4.2047922084619564
9303.685324080978,0.008997324689701481,0.006068815676425101,4.523085236433255
5443.75695181684,0.0039773021362751225,0.008521617101725975,7.5847883804154685
857.4560722398834,0.006673952570180641,0.0034509000216134747,7.873632834186538
760.4883635943045,0.005810546901797157,0.005532047657561767,4.246371507244729
5032.568924725944,0.0055471702292614064,0.00926832789930774,0.4370070254109657
3948.40643565433,0.0014724324554320617,0.003489025034569503,2.972337155391613
480.70886777036264,0.0006243458460322833,0.009546677558214763,6.083594519933148
9309.264618667976,0.008695963255759288,0.0026876123742678093,3.5989457802711957
532.043616780814,0.009682505087007846,0.009804831902728808,9.759205598362733
6971.473698942438,0.00022110602514325103,0.005222808190564593,3.079019069179284
4084.916748379287,0.005199314894401195,0.007256969404565636,2.569402887209581
5442.35455077668,0.0013020245666285914,0.009447807837927553,8.641307801032486
8997.321516542115,0.00783093141467228,0.00338062972204492,3.749515022468679
295.26331105555903,0.00034441551977648513,0.001485001490001638,7.3083001461496
194.56802897308148,0.005269765481545382,0.004335120261339937,1.428596336476452
5535.07248547828,0.007118661414799172,0.006997154050980366,3.9645856445337566
